"Name","Address","Description","Latitude","Longitude"
"Pluton Biosciences","11754 Westline Industrial Dr, St. Louis, MO 63146, USA","<p>Pluton extracts natural resources from the earth. But the resource they seek is not oil or gas, gold or silver, or even copper or nickel. Their targeted discovery platform “mines”​ microbes from the soil – the bacteria, fungi and viruses that live in and all around us.</p><p>Pluton’s Micromining platform targets new microbial solutions quickly and inexpensively,  through their research and development pipeline, speeding the introduction of novel natural products to the market.</p>",38.702553,-90.434094
"Edison Agrosciences","St. Louis, MO 63132, USA","Edison Agrosciences is an agricultural biotechnology company dedicated to developing and commercializing innovative solutions for the production of plant-based industrial materials, with a primary focus on the development of alternative rubber crops.<br>",38.6785807,-90.3795438
"Advantage Capital Partners","7733 Forsyth Blvd Suite 1400, St. Louis, MO 63105","<p>Advantage Capital's mission is to bring businesses, technologies and jobs to communities that have historically lacked access to investment capital, while also generating competitive returns for their investors. Advantage Capital has been an innovator in raising private institutional capital to invest in businesses located in states and communities that are underserved by traditional sources of risk capital.</p>",38.6504434,-90.3356165
"Innovative Technology Enterprises - UMSL","4633 World Parkway Circle, Berkeley, MO 63134, United States","<p>Innovative Technology Enterprises (ITE) is a university incubator located at University of Missouri - St. Louis and is ideal for community as well as university technologies. ITE offers office and laboratory space for companies involved in chemistry, life science, nanotechnology and IT.&nbsp;</p>",38.7289648,-90.3347193
"Aptimmune Biologics","Donald Danforth Plant Science Center, North Warson Road, Olivette, St. Louis, MO, United States","<p>Aptimmune Biologics, St. Louis, Mo., specializes in developing and marketing a portfolio of revolutionary mucosal vaccines that provide answers for the most costly viral diseases impacting the swine industry. Aptimmune's first vaccines are focused on addressing two major viral respiratory pathogens, Porcine Reproductive and Respiratory Virus (PRRSV) and Influenza A virus in swine (IAV-S).</p>",38.674333,-90.3971893
"Smashtoast","911 Washington Avenue, St. Louis, MO, United States","SmashToast is the creator of PUCK. Attach Puck on or near your TV, Soundbar, curtains, or any other IR remote-controlled device* and download the free iOS app to free yourself from the burden of traditional remotes.",38.6314422,-90.1931569
"Impetus Agriculture","4340 Duncan Ave, St. Louis, MO 63110, USA","Impetus Agriculture focuses on new insect control biologics for food crops that will combat the growing number of insects resistant to current commercial products. Impetus’ programs are designed to specifically circumvent insects’ resistance mechanisms.",38.635209,-90.254186
"Canopy BioSciences","4340 Duncan Ave, St. Louis, Missouri 63110, USA","Founded in 2016, Canopy Biosciences aims to accelerate the commercialization of life science reagent tools and services through in-licensing key technologies in the fields of genetic engineering and personalized medicine.<br>",38.635209,-90.254186
"AppsCo","911 Washington Ave, St. Louis, Missouri, USA","AppsCo connects people and things simply and securely. The AppsCo platform enables users to securely manage access to their company’s applications, while presenting easier visibility on company audits and reports.<br><p></p>",38.6313709,-90.1932113
"Cadre Bioscience","4340 Duncan Avenue, St. Louis, MO, USA","Cadre Bioscience is developing a portfolio of new therapeutics for human diseases of high unmet medical need.<br><p></p>",38.635209,-90.254186
"The OC @ CWE","4436 Olive Street, St. Louis, MO, United States","<p>The OC @ CWE is a ""co-shopping"" space in St. Louis’ vibrant Central West End neighborhood. Targeted at those who have a unique business or idea and are ready to share it,&nbsp;OC @ CWE offers a unique event space for private or pop-up shop events.</p>",38.6471703,-90.2534651
"OPO Startups","119 S Main St, Saint Charles, MO, United States","<p>Founded by local entrepreneur Randy Schilling, OPO Startups transformed the old St. Charles Post Office (Old Post Office, or OPO) into a beautiful and bright coworking space for digital businesses looking to grow. You’ll find a true mix of business types using the space from research companies, to creative brands, and even a brewery.</p>",38.7807068,-90.4820008
"St. Louis Game Developer Co-op","734 West Port Plaza, St. Louis, MO, United States","<p>The St. Louis Game Developer Co-op provides support, resources, and networking opportunities for game developers in St. Louis, Missouri. We exist to help game creators of all kinds, including those interested in video games, tabletop games, card and board games, and other unique and innovative methods of gameplay. We seek to create a diverse and welcoming environment which contributes to what makes St. Louis a great place for game creators from all walks of life.<br></p>",38.701048,-90.447612
"WiserU","7620 Ravenhill Drive, St. Louis, MO, United States","<p>WiserU provides LinkedIn training and services and LinkedIn training and services to individuals and companies. WiserU also launched the WiserU Career System, a web-based system to train recent college graduates, the unemployed, and the miserably employed to land meaningful, high-paying careers.</p>",38.57103,-90.3156939
"Regional Business Council","7701 Forsyth Boulevard, St. Louis, MO, United States","The Regional Business Council is a consortium of the Presidents and CEOs of 100 of the region’s largest mid-cap companies.

With a business, civic and philanthropic mission, the RBC focuses on: advocating for regional governance initiatives; improving educational opportunities; supporting business diversity issues; strengthening regional arts and cultural institutions; and increasing the involvement and investment of RBC members for the betterment of the St. Louis region.",38.6503785,-90.3345335
"VaxNewMo","4320 Forest Park Ave, St. Louis, Missouri 63108, USA","<p>VaxNewMo is developing next generation conjugate vaccines against bacterial diseases using its patented conjugating enzyme technology. Our conjugating enzyme technology is faster, more natural, and more reliable than methods used by pharmaceutical companies.</p>",38.6365749,-90.2529572
"Clever Real Estate","6358 Delmar Blvd, St. Louis, Missouri 63130, USA","<p>Clever Real Estate is a nationwide tech platform that connects consumers with a local, full-service real estate agent who will list their home for a flat fee of $3,000, or 1% for homes over $350,000.</p><p>By providing agents with a higher volume, lower cost way to find clients, homeowners can receive a full-service experience without the traditional 6% commission.</p>",38.6556575,-90.3018869
"Esri","3060 Little Hills Expy, St Charles, MO 63301, USA","Esri builds ArcGIS, the most powerful mapping software in the world. ArcGIS connects people with maps, data, and apps through geographic information systems (GIS). It is a location platform that’s accessible to anyone, anywhere, anytime. Esri’s software is used by Fortune 500 companies, National and Local governments, Public Utilities and tech start-ups around the world.<br>",38.8125338,-90.4885039
"Galera Therapeutics","1100 Corporate Square Drive, St. Louis, Creve Coeur, MO 63132, USA","Galera Therapeutics is focused on developing and commercializing a pipeline of novel, proprietary therapeutics that have the potential to transform radiotherapy in cancer.<br>",38.6776919,-90.4005912
"Better Weekdays","911 Washington Avenue, St. Louis, MO, United States","<p>Better Weekdays reduces friction in the job search and recruiting process. We provide discovery to employer brands and job opportunities so that universities can engage students, and companies can nurture relevant talent well before they decide to apply.</p>",38.6314422,-90.1931569
"The Call List","911 Washington Avenue, St. Louis, MO, United States","Our mission is to connect audiences directly to experts, artists, educators, and more through live two-way video and audio streaming in a comfortable format. Mobile app users opt-in to relevant events and receive a video call from the host, who experiences their collective audience on a larger screen.",38.6314422,-90.1931569
"Arch Oncology","4320 Forest Park Ave, St. Louis, Missouri 63108, USA","Arch Oncology is an immuno-oncology company focused on the discovery and development of next-generation anti-CD47 antibody therapies to improve treatment options for patients living with cancer.<br>",38.6365749,-90.2529572
"Arch Grants Global Startup Competition","2315 Locust St, St. Louis, MO 63101, USA","<p>Arch Grants is a 501(c)(3) nonprofit at the center of the movement to accelerate place-based economic development through entrepreneurship. Through its Global Startup Competition, Arch Grants awards $50,000 equity-free grants and access to an entire ecosystem of support and resources. This program is an unwavering effort to inspire the next generation of employers, civic leaders, and philanthropists for the St. Louis region.</p><p>Since 2012, Arch Grants has awarded over $9 million to 173 early-stage startups. Approximately 75% of the companies that Arch Grants has funded are still in operation, and 85% of those are still operating in&nbsp;<span style=""color: inherit;"">the St. Louis region. Arch Grants companies have cumulatively generated over $450 million in revenue, attracted over $360 million in follow-on capital, and created over 2,300 jobs in Missouri.</span></p>",38.6304765,-90.1971288
"USPTO Patent Pro Bono Program","4633 World Parkway Circle, Berkeley, MO, United States","We offer access to pro bono legal assistance in the form of free attorney and/or patent agent time in helping inventors prepare and file for their patents. 

The goal of the national program is to connect under-resourced inventors, identified as individuals at 300% of the Federal Poverty Line and below (table), with pro bono patent services in order to help those products reach the market so that they might be commercialized or sold off.",38.7289648,-90.3347193
"Plastomics","975 N Warson Rd, St. Louis, Missouri 63132, USA","<p>Plastomics is a biotechnology company making better, safer and more effective crops through chloroplast engineering. Innovation and new technology are critical to solving current challenges facing agriculture, including stacking and breeding of multiple crop protection traits.</p><p>Technologies being used today are limiting and require a lot of time and money. Chloroplast engineering is a platform that can efficiently introduce multiple traits into the chloroplast and enable simple, more predictable breeding of traits.</p>",38.6742053,-90.3968239
"Cultivation Capital","911 Washington Avenue, St. Louis, MO, United States","Cultivation Capital is a venture capital firm that supports ""extraordinary entrepreneurs."" One of the most active venture capital firms in the St. Louis region, Cultivation Capital makes seed-stage and series A investments in companies whose ideas have the potential to transform the way we live and work. Cultivation Capital has backed over 100 companies since the firm was founded in 2012, and manages ""a family of venture funds and accelerators"" that invest in technology and life sciences companies, including SixThirty, The Yield Lab and the Spirit of St. Louis Fund.<br>",38.6314422,-90.1931569
"NRGene","5705 Lisette Avenue, St. Louis, MO, United States","NRGene is a genomic big data company that support the global breeding industry boost the development of new plant and animal varieties by developing cutting edge predictive computational methods. NRGene’s proprietary algorithms and software tools serve the rapidly expanding genomics market and replace the long and expensive processes of random field selection with big data based predictions.<br>",38.5762202,-90.2923239
"TechArtista","4818 Washington Blvd, St. Louis, MO 63108, United States","<p>With a focus on growing business, as well as creative people and processes, TechArtista’s name hints at the role they play in the community.&nbsp; From its intriguing architecture and murals to the caliber of companies the collaborative environment attracts,&nbsp;the venue is an inspiring place to work from&nbsp;in the Central West End.</p>",38.6499727,-90.2602052
"Twain Financial Partners","2200 Washington Ave, St. Louis, MO 63103, USA","<p>Twain Financial Partners is an investment management firm located in St. Louis, MO with over $4 billion in assets under management within the public-private partnership sector. The firm works with a wide variety of investment types, specializing in tax credit, structured debt, and real estate transactions. Twain works closely with financial institutions, corporations, and high-net-worth individuals to structure and manage investments that offer both attractive economic return and social benefits.</p>",38.634385,-90.2108499
"Express Scripts Lab","1 Express Way, St. Louis, MO 63121, USA","<p></p><p>Express Scripts makes the use of prescription drugs safer and more affordable for 100 million Americans. Through research, the use of innovative technology, and specialized pharmacy care, Express Scripts seeks to improve patient health and reduce overall healthcare costs.<br></p>",38.7187906,-90.3104578
"RNAgri","4320 Forest Park Ave, St. Louis, Missouri, USA","Established in 2011 and formerly called APSE, RNAgri is developing an inexpensive way of manufacturing RNA for RNAi applications. RNAi, which is an abbreviation for RNA interference, is a technology that relies on gene regulation without the heritable effects on DNA. Because RNAi works downstream from DNA, it is not genetic modification and therefore is non-GMO.<br>",38.6365749,-90.2529572
"Wugen","4340 Duncan Ave, St. Louis, Missouri 63110, USA","Wugen develops novel cellular therapies for human cancers. Wugen’s state-of-the-art gene editing technologies and cutting-edge cell therapy address key challenges that have limited the clinical use of cell therapies.<br>",38.635209,-90.254186
"Axiom","Axiom Product Administration, Progress Point Parkway, O'Fallon, MO, USA","<p>Axiom is a  product administration and technology company launching a national line of dealer-focused, F&amp;I and retention programs. The first of its kind, Axiom’s mission is to fuse together innovative automotive programs with interactive technology for both the dealer and customer.<br></p>",38.7153661,-90.6953212
"Observable Networks","230 S Bemiston Ave, Clayton, St. Louis, MO 63105, USA","Acquired by Cisco in July 2017, Observable Networks is a Clayton-based network cybersecurity startup that offers Network Security-as-a-Service, providing automated security analytics and modeling to continuously analyze the behavior of all network devices.<br>",38.6465946,-90.3371559
"Viosera Therapeutics","1912 Innerbelt Business Center Dr, Overland, St. Louis, Missouri 63114, USA","The rise of multidrug resistant superbacteria has rendered many antimicrobials useless while millions die. Viosera Therapeutics discover synergies between approved drugs and create combinations of drugs that suppress resistance.<br><p></p>",38.6906706,-90.3561501
"Coolfire Studios","1101 Lucas Ave, St. Louis, MO 63101, USA","Headquartered in St. Louis since 2002, Coolfire Studios is a content creation studio that produces for brands as well as for broadcast and for digital networks. Coolfire Studios goes beyond the traditional production company by driving digital and social engagement to help ensure the content’s success.<br><p></p>",38.6320518,-90.1949085
"NewLeaf Symbiotics","1005 North Warson Road, St. Louis, Missouri 63132, USA","NewLeaf Symbiotics is a plant microbiome technology company engaged in discovery, development, production, and commercialization of products containing beneficial plant microbes (M-trophs). NewLeaf’s family of products, which fall under the brand name Terrasym, help farmers increase yield by promoting stronger plants and better nutrient uptake, ultimately contributing to the transformation of agriculture towards a more sustainable future.<br>",38.6757846,-90.3966592
"Aisle411","20 S Sarah St, St. Louis, MO 63108, United States","<p>Indoor Mapping is the next Big Opportunity for Retailers: aisle411 is working with its strategic partners to develop new indoor maps that layer data sets on top of maps to create “Smart Maps” for consumers.&nbsp;<span style=""color: inherit;"">Aisle411 collects, organizes and monetizes retailer’s product inventory location and enterprise software space planning systems and store maps, providing an in-store search and navigation platform (think “Google Maps” inside retail stores).&nbsp;</span></p>",38.6362117,-90.2467661
"ITEN","T-REX, 911 Washington Ave, St. Louis, MO, United States","<p>ITEN is a nonprofit that accelerates scalable tech startups with programs for rapid product development, connections to talent, essential networking, and access to funding.  The organization enables experienced entrepreneurs to help other entrepreneurs build successful, growing tech ventures.&nbsp;<span style=""color: inherit;"">These critical connections are formed through direct mentoring access, a curriculum of graduated acceleration programs, and weekly and monthly networking programs.&nbsp;</span></p><p><span style=""color: inherit;"">&nbsp;ITEN’s programs form a venture roadmap from concept through design, prototype, launch, revenue, funding and rapid scaling. Guidance from serial entrepreneurs, subject matter experts and important community influencers helps entrepreneurs focus on essential critical tasks and avoid wasted efforts.</span><br></p>",38.6312958,-90.1932019
"Radiologics","4240 Duncan Avenue, Saint Louis, MO 63110, USA","<p>The Radiologics mission is to facilitate biomedical research &amp; improve patient care through computational informatics. They build FDA-compliant data management systems for medical imaging for clinical research, clinical trials, and diagnostics.</p>",38.6347776,-90.2516581
"Anvil Analytics + Insights","7730 Carondelet Ave, Clayton, MO 63105, USA","<p>A marketing data optimization agency that helps clients generate scalable digital growth.</p>",38.648367,-90.3357558
"Midwest Digital Marketing Conference (MDMC)","UMSL, University Boulevard, St. Louis, MO, USA","<p>MDMC is the largest digital marketing conference in the Midwest.</p>",38.7092187,-90.3083223
"ReachDynamics, LLC","7370 Manchester Road, Maplewood, MO, United States","<p>ReachDynamics is the pioneer of email inbox retargeting solutions for online marketers. Take traditional retargeting to the next level by matching anonymous web browsers to their email address.</p><p>ReachDynamics provides pay for performance email and direct mail retargeting solutions for online e-commerce and lead generation companies.</p>",38.612617,-90.319328
"Arco + Associates","Ballwin Park, Ballwin, Missouri 63021, US","<p>Arco + Associates is a St. Louis-based marketing communications firm that specializes in strategic planning, copywriting, branding and visual identity, and public relations. For more than a decade, Arco has helped organizations ranging in size from 10 to 1000 employees focus their marketing investments and ensure their marketing plans align with business goals.</p>",38.579611,-90.558982
"Helix Fund","1100 Corporate Square Drive, St. Louis, MO, United States","The $1.5 million Helix Fund co-invests with specific partners to promote the growth of bioscience and related technology businesses in St. Louis County. Eligible companies must be referred to the Helix Fund for investment consideration by one of their partners. An eligible company that already has the support of one of their partners may also request funding directly, but only after the partner has committed funding to the specific opportunity.<br>",38.6776647,-90.4004892
"Atomic Revenue","202-8 S Meramec Ave, Clayton, MO 63105, USA","Atomic Revenue grows small to mid-size businesses through Revenue Operations. Atomic Revenue works with your team to diagnose and resolve problems that slow progress and reduce profit. From lead generation to sales conversion and customer advocacy, Atomic Revenue aligns all the parts of your business to make it easier for you to achieve the results you want.<br>",38.6476949,-90.3397708
"East St. Louis Initiative","Saint Louis, MO, USA","The East St. Louis Initiative engages local entrepreneurial leaders from East St. Louis with Washington University student teams and provides connections to make micro-enterprises sustainable.<br><a href=""https://www.facebook.com/EastSt.louisinitiative/ target="" _blank'="""">Facebook</a>",38.6105426,-90.3371889
"Elasticity","1008 Locust St, St. Louis, MO 63101, USA","Elasticity is a disruptive integrated marketing agency delivering capabilities that span earned, owned and paid media channels. Elasticity excels in digital marketing, media relations, content marketing, managing search engine visibility, strategic paid media management, stakeholder and employee communications, and building visual branding elements for our clients. More than anything, Elasticity helps organizations disrupt by creating unique content that breaks through the clutter, engages the target audience, and builds influence.<br><p></p>",38.6297573,-90.1948353
"Fimbrion Therapeutics","20 S Sarah St, St. Louis, Missouri, USA","<p>Developing powerful alternatives to traditional antibiotics. Fimbrion Therapeutics is a life sciences company whose mission is to develop antimicrobial-sparing drugs for the treatment of bacterial infections.<br></p><p></p>",38.6362566,-90.2466767
"Sapper Consulting","20 S Sarah St, St. Louis, MO 63108, USA","FTL Capital was formed in 2001 to invest the capital of its Managing Partner Thomas Hillman. Since then, Mr. Hillman and his associates have built FTL Capital into one of the preeminent boutique private equity firms in the Midwest. FTL Capital’s selective approach to investing enables it to focus its resources solely on those business opportunities with the potential to go “beyond success to significance.”",38.6362566,-90.2466767
"Atomicdust","3021 Locust Street, Saint Louis, MO 63103, USA","Atomicdust is a brand and design consultancy dedicated to solving business problems through strategies, identities, experiences and environments that are as purposeful as they are beautiful.<br><p></p>",38.6361819,-90.2225243
"Butterscotch Shenanigans","St. Louis, MO 63146, United States","N/A",38.6887567,-90.4643906
"Kingdom Scene Endeavors","211 South Central Avenue, St. Louis, MO 63105, United States","<p>Kingdom Scene created Lightgliders, a digital world of Christian faith, fun, and games for kids available on smartphones, tablets, and web browsers. It was strategically designed to encourage biblical faith, positive values, and meaningful conversations among kids and families.&nbsp;</p>",38.6470629,-90.3387652
"Center for Emerging Technologies (CET)","20 S Sarah St, St. Louis, MO, United States","Founded in 1998, the Center for Emerging Technologies (CET) is the largest and oldest Innovation Center in Missouri. CET is nationally recognized for providing the infrastructure and resources needed for early-stage, high-growth companies in the fields of information technology, bioscience and consumer/manufactures products to innovate and thrive. An affiliate of the Cortex Innovation Community since 2012, CET includes a 88,000 sq. ft. facility offering shared lab facilities, private wet and dry labs, production and office space, and shared equipment, conference rooms and amenities.<br>",38.6362117,-90.2467661
"SLAM! Agency","1601 Tower Grove Ave, St. Louis, MO 63110, USA","SLAM! is a boutique marketing agency that can help you tell your story and share it in a way that builds awareness, drives demand and delivers real business results.<br><p></p>",38.6203034,-90.2558298
"Xeo Air","T-REX, 911 Washington Avenue, St. Louis, MO, USA","Xeo Air is a drone service platform that provides high-quality aerial mission management services and data management. They provide RGB, video, thermography, LIDAR and other sensor capabilities for inspection and mapping through our trusted, FAA certified and insured pilot network, for industries such as, Construction, Telecom, Civil Infrastructure, Energy, Oil &amp; Gas, and Insurance and Disaster Response.<br><p></p>",38.63144,-90.1931878
"Bigwidesky","2 North Meramec Avenue, St. Louis, MO 63105, USA","<br>",38.650535,-90.339438
"Dream Builders 4 Equity","4220 Duncan Ave Suite 201, St. Louis, MO 63110","Dream Builders believes that equitable opportunities are foundational for youth to realize their fullest potential.&nbsp;<span style=""color: inherit;"">They provide at-risk youth with access to a diverse and broad set of assets through mentorship, entrepreneurship, scholarship, and leadership training to give them the necessary skills to succeed academically and professionally, and attain ownership in the development of low-income/highly distressed communities.</span>",38.6346357,-90.2513342
"Paradowski Creative","349 Marshall Ave, Webster Groves, St. Louis, Missouri, USA","<p>Paradowski Creative is a full-service creative agency based in St. Louis, Missouri.</p>",38.6078124,-90.3457885
"Rodgers Townsend","200 North Broadway, St. Louis, MO 63102, USA","<p>Rodgers Townsend is a full-service marketing communications agency. Founded in 1996, Rodgers Townsend provides advertising, direct marketing, strategic planning, interactive marketing and design services to a wide range of clients both nationally and locally. Now an Omnicom agency, Rodgers Townsend currently serves clients such as Anheuser-Busch, Ameren UE, AT&amp;T, St. Louis Childrens Hospital, Dean Foods, Energizer, Furniture Brands, The Hartford, Missouri Baptist Medical Center, and Solutia.</p>",38.6273496,-90.1887947
"PenPath","677 Craig Rd, Creve Coeur, St. Louis, MO 63141, USA","PenPath is a marketing intelligence agency specialized in connecting, mapping, and visualizing data for brands and agencies. PenPath delivers custom business intelligence (BI) dashboards that allow any team or organization to become truly data-driven.<br><p></p>",38.66834,-90.4379233
"BALSA Foundation","4240 Duncan Avenue, St. Louis, MO, United States","The BALSA Foundation’s mission is to promote social equity and prosperity in the St. Louis region by empowering first-time entrepreneurs to start and grow their businesses. They fulfill this mission by (1) maintaining an online, step-by-step guide to starting a business, (2) providing free feedback from experts to anyone with a business idea, (3) providing cash grants, mentorship and donations of professional services to first-time entrepreneurs who need and will benefit from them the most.</p><p><a href='https://twitter.com/BALSAfoundation target='_blank'>Twitter</a><br><a href='https://www.facebook.com/BALSAFoundation target='_blank'>Facebook</a></p>",38.6346583,-90.2513906
"Vidzu","200 North Broadway, St. Louis, MO, USA","<p>Full-service video production agency in St. Louis that specializes in creating custom branded content.</p><p>Vidzu Media specializes in high-quality video production to meet the communications needs of industry leading companies and brands. With a focus on creative, engaging, results-driven video solutions, Vidzu Media builds value for their partners by creating and distributing original video content using proven processes that save costs and drive real business objectives.</p>",38.6273496,-90.1887947
"Square","700 N Tucker Blvd, St. Louis, MO 63101, USA","Everyone should be able to participate and thrive in the economy: Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products.<br>",38.632324,-90.1962637
"OneSpace","33 Bronze Pointe North, Swansea, IL, United States","<p>OneSpace is an agile talent platform that brings managers in need of a convenient and effective way to access, integrate and manage a virtual workforce together with contractors seeking an easy way to access paying assignments and manage their careers.

We offer both companies and freelancers a user-friendly and comprehensive virtual work environment, as well as the preparation, support and tools necessary to succeed in the new on-demand economy. We’ve provided enterprises, such as Staples, eBay and Overstock, instant access to talent, helping them scale their operations with unprecedented efficiency.</p>",38.5664692,-89.9873512
"HomeTraq","222 S Central Ave Suite 1000, St. Louis, MO 63105","<p>Home Showings Simplified. <span style=""color: inherit;"">HomeTraq empowers home buyers and sellers with a simple, transparent experience.</span></p>",38.9469323,-92.3308937
"STL Fusion","555 Washington Ave, St. Louis, MO, United States","STL Fusion offers flexible leases that adapt to your growing business' needs.&nbsp;If you want to work downtown in a luxurious vibe, this contemporary space provides a variety of workspace options, making it convenient for you to change offices or expand as and when your needs require.<br>",38.6304116,-90.1888428
"Anders","800 Market St, St. Louis, MO 63101, USA","Anders is a CPA and advisory firm serving privately held companies and high-net-worth individuals with a dedicated team of CPAs and industry-focused advisors.<br><p></p>",38.6260299,-90.19392
"Regional Business Council","7701 Forsyth Boulevard, St. Louis, MO, United States","The Regional Business Council is a consortium of the Presidents and CEOs of 100 of the region’s largest mid-cap companies.

With a business, civic and philanthropic mission, the RBC focuses on: advocating for regional governance initiatives; improving educational opportunities; supporting business diversity issues; strengthening regional arts and cultural institutions; and increasing the involvement and investment of RBC members for the betterment of the St. Louis region.",38.6503785,-90.3345335
